connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;--194683757#2;0;139083723#0;0
1.9;--194683757#2;0;gneE128;0
1.9;--362127466#2;0;26615914#0;0
1.9;--362127466#2;0;-142677518.23;0
1.9;--362127466#2.41;0;--362127466#2;0
1.9;-125742555;0;22649704#1;0
1.9;-125742555;0;gneE138;0
1.9;-125742555;0;gneE141;0
1.9;-13792152#1;;;
1.9;-139169789#0;0;-521045500;0
1.9;-139169789#0;1;-521045500;1
1.9;-142677514#0;0;23917006#0;0
1.9;-142677514#0;0;-26615914#1;0
1.9;-142677514#1;0;-142677514#0;0
1.9;-142677518;0;22791190#0;0
1.9;-142677518;0;-22791191#1;0
1.9;-142677518;1;-22791191#1;1
1.9;-142677518;1;gneE130;0
1.9;-142677518.23;0;-142677518;0
1.9;-142677518.23;0;-142677518;1
1.9;-142677520;0;-142944343#1;0
1.9;-142677520;1;-142944343#1;1
1.9;-142944343#1;0;14432781#1;0
1.9;-142944343#1;0;45741812#1;0
1.9;-142944343#1;1;45741812#1;1
1.9;-142954620;0;566711300;0
1.9;-142954639#0;0;457986149;0
1.9;-142954639#0;1;457986149;1
1.9;-142954639#0;1;457986149;2
1.9;-142954639#1;0;4919145;0
1.9;-142954639#1;0;-142954639#0;0
1.9;-142954639#1;1;-142954639#0;1
1.9;-142954639#2;0;-142954639#1;0
1.9;-142954639#2;1;-142954639#1;1
1.9;-142954639#3;0;5217066;0
1.9;-142954639#3;0;-142954639#2;0
1.9;-142954639#3;1;-142954639#2;1
1.9;-142954639#4;0;-142954639#3;0
1.9;-142954639#4;1;-142954639#3;1
1.9;-142954639#5;0;-142954639#4;0
1.9;-142954639#5;1;-142954639#4;1
1.9;-142954639#6;0;-142954639#5;0
1.9;-142954639#6;1;-142954639#5;1
1.9;-142954639#7;0;-142954639#6;0
1.9;-142954639#7;1;-142954639#6;1
1.9;-142954639#8;0;-142954639#7;0
1.9;-142954639#8;1;-142954639#7;1
1.9;-144911428#0;;;
