edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;cluster_710397154_710397156;--194683757#2;1;4;2497.39,1918.36 2481.11,1912.21 2442.05,1893.88;13.89;18653534;highway.residential;0;origId;194683757
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;gneJ148;--362127466#2;1;4;;13.89;1561371007;highway.residential;0;origId;362127466
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;706251052;--362127466#2.41;1;4;;13.89;gneJ148;highway.residential;0;origId;362127466
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;cluster_1758886194_242891799;-125742555;1;5;2377.09,515.75 2370.51,559.62 2363.01,626.68;13.89;cluster_6;highway.unclassified;0;origId;125742555 22649712
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;cluster_18130111_573429067;-13792152#1;1;5;1730.65,591.59 1741.44,598.09 1764.02,606.99 1876.18,700.11;8.33;36571754;highway.unclassified;0;origId;13792152
1.9;pedestrian bicycle tram rail_urban rail rail_electric rail_fast ship;cluster_1;-139169789#0;2;9;2415.72,2670.58 2402.66,2672.83 2394.50,2674.15 2378.71,2676.18 2365.64,2676.87;13.89;1525255882;cycleway.lane|highway.primary;0;origId;139169789
1.9;pedestrian bicycle tram rail_urban rail rail_electric rail_fast ship;cluster_1;-139169789#0;2;9;2415.72,2670.58 2402.66,2672.83 2394.50,2674.15 2378.71,2676.18 2365.64,2676.87;13.89;1525255882;cycleway.lane|highway.primary;1;origId;139169789
1.9;pedestrian bicycle tram rail_urban rail rail_electric rail_fast ship;434379810;-142677514#0;1;6;;13.89;259235616;cycleway.lane|cycleway.opposite_lane|highway.tertiary;0;origId;142677514
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;16738089;-142677514#1;1;6;2450.20,1735.61 2450.49,1722.79 2450.68,1714.44 2450.88,1705.87;13.89;434379810;cycleway.lane|cycleway.opposite_lane|highway.tertiary;0;origId;142677514
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;gneJ146;-142677518;2;6;2523.27,1436.62 2529.19,1411.85;13.89;cluster_36685306_447620746;cycleway.opposite_lane|highway.tertiary;0;origId;142677518
1.9;pedestrian tram rail_urban rail rail_electric rail_fast ship;gneJ146;-142677518;2;6;2523.27,1436.62 2529.19,1411.85;13.89;cluster_36685306_447620746;cycleway.opposite_lane|highway.tertiary;1;origId;142677518
