nodes_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;node_id;node_type;node_x;node_y;node_tl;node_tlType;node_shape;node_controlledInner
1.9;290.62,313.76,4215.21,3300.04;-562751.27,-5932801.54;9.702423,53.533230,10.022106,53.616961;+proj=utm +zone=32 +ellps=WGS84 +datum=WGS84 +units=m +no_defs;;;;;;;;
1.9;;;;;105290638;right_before_left;2245.48;1013.34;;;;
1.9;;;;;1070396278;priority;2559.18;2607.62;;;;
1.9;;;;;115337724;priority;2126.30;1008.67;;;;
1.9;;;;;121;traffic_light;2583.80;1089.50;121;actuated;;
1.9;;;;;1217212991;traffic_light;2593.86;804.95;;;;
1.9;;;;;122349;priority;2528.82;876.84;;;;
1.9;;;;;122352;priority;1616.53;1093.12;;;;
1.9;;;;;1332078205;traffic_light;2286.70;473.75;1332078205;actuated;;
1.9;;;;;141316011;priority;2435.61;909.88;;;;
1.9;;;;;141316014;priority;2412.00;917.93;;;;
1.9;;;;;141316017;dead_end;2310.83;799.23;;;;
1.9;;;;;14398561;priority;2071.39;1639.84;;;;
1.9;;;;;1524336598;priority;2386.33;2017.05;;;;
1.9;;;;;1524336621;priority;2349.90;2092.45;;;;
1.9;;;;;1524336655;priority;1861.12;2255.57;;;;
1.9;;;;;1524487570;priority;2084.44;1807.82;;;;
1.9;;;;;1525255882;priority;2365.64;2676.87;;;;
1.9;;;;;1561370956;priority;2600.73;1052.67;;;;
1.9;;;;;1561370961;priority;2563.82;1212.62;;;;
1.9;;;;;1561371007;priority;2494.04;1550.21;;;;
1.9;;;;;1568226503;priority;2084.57;1656.69;;;;
1.9;;;;;1586118650;priority;1863.83;2113.31;;;;
1.9;;;;;16712068;priority;2337.62;2677.90;;;;
1.9;;;;;16738089;traffic_light;2450.20;1735.61;GS_16738089;actuated;;
1.9;;;;;16808390;priority;1985.91;1516.84;;;;
1.9;;;;;16808391;traffic_light;1903.01;1383.27;16808391;;;
1.9;;;;;1687916274;dead_end;2954.50;2285.16;;;;
1.9;;;;;1687916307;dead_end;2802.20;3299.90;;;;
1.9;;;;;1703191914;priority;2249.81;472.83;;;;
1.9;;;;;1703191975;priority;2201.43;447.11;;;;
1.9;;;;;1703360304;priority;2257.40;472.35;;;;
1.9;;;;;1705496724;priority;2418.07;927.61;;;;
1.9;;;;;1705496740;priority;2028.18;1074.49;;;;
1.9;;;;;1705496755;priority;2534.40;886.79;;;;
1.9;;;;;1705496756;priority;2505.74;898.19;;;;
1.9;;;;;1705496763;priority;2440.44;920.40;;;;
1.9;;;;;1705496764;priority;2478.11;907.69;;;;
1.9;;;;;1745;traffic_light;2562.33;1221.08;1745;actuated;;
1.9;;;;;1759791302;priority;2371.21;2046.78;;;;
1.9;;;;;1759791376;priority;2359.40;2071.50;;;;
1.9;;;;;1759791415;priority;2320.02;2156.58;;;;
1.9;;;;;18130097;dead_end;2752.97;491.55;;;;
1.9;;;;;18130103;priority;2189.11;446.97;;;;
1.9;;;;;18130108;priority;1941.36;480.91;;;;
1.9;;;;;18653534;traffic_light;2442.05;1893.88;18653534;actuated;;
1.9;;;;;18653542;dead_end;2438.93;1205.16;;;;
1.9;;;;;18653561;dead_end;2527.22;1020.24;;;;
1.9;;;;;18653570;priority;2445.54;1839.42;;;;
1.9;;;;;1993117821;priority;1538.56;721.12;;;;
1.9;;;;;1996;traffic_light;1669.04;1873.19;1996;;;
1.9;;;;;2084;traffic_light;1507.75;1176.46;2084;actuated;;
1.9;;;;;2084-A;traffic_light;1477.21;1098.12;2084-A;actuated;;
1.9;;;;;2084-B;traffic_light;1576.01;1117.65;2084-B;actuated;;
1.9;;;;;21423298;priority;1756.06;1847.37;;;1765.09,1848.18 1759.42,1837.12 1754.76,1841.18 1757.82,1850.18;
1.9;;;;;21423324;dead_end;962.17;1802.38;;;;
1.9;;;;;21450235;priority;1863.59;2124.28;;;;
1.9;;;;;21450342;dead_end;1434.59;2007.84;;;;
1.9;;;;;2151791988;priority;2128.58;1019.24;;;;
1.9;;;;;218156264;priority;1142.57;1720.21;;;;
1.9;;;;;218156764;priority;1136.36;1795.89;;;;
1.9;;;;;218172664;priority;1360.04;1295.02;;;;
1.9;;;;;218172667;priority;1292.38;1358.72;;;;
1.9;;;;;218176857;priority;1559.45;911.90;;;;
1.9;;;;;220429021;priority;2502.23;886.14;;;;
1.9;;;;;2286379679;priority;2449.31;1765.90;;;;
1.9;;;;;2292314158;priority;2845.57;2224.25;;;;
1.9;;;;;230085231;traffic_light;1917.23;1409.42;230085231;actuated;;
1.9;;;;;2347315947;priority;2175.34;1704.14;;;;
1.9;;;;;2366341723;priority;2626.76;921.98;;;;
1.9;;;;;236786506;priority;1643.55;1100.77;;;;
1.9;;;;;236789227;priority;1459.01;1217.56;;;;
1.9;;;;;238016271;priority;2825.89;2338.82;;;;
1.9;;;;;240314058;traffic_light;2473.92;895.84;240314058;actuated;;
1.9;;;;;242891802;dead_end;2436.33;828.70;;;;
